Entity,Code,Year,all years
Cecil,,2021,103905
Cedar,,2020,18495
Cedar,,2020,14199
Cedar,,2020,8373
Cedar,,2021,18410
Cedar,,2021,14496
Cedar,,2021,8330
Centre,,2020,157929
Centre,,2021,157527
Cerro Gordo,,2020,42965
Cerro Gordo,,2021,42706
Chaffee,,2020,19571
Chaffee,,2021,20074
Chambers,,2020,34678
Chambers,,2020,47051
Chambers,,2021,34541
Chambers,,2021,48865
Champaign,,2020,205469
Champaign,,2020,38705
Champaign,,2021,205943
Champaign,,2021,38699
Chariton,,2020,7380
Chariton,,2021,7356
Charles,,2020,166682
Charles,,2021,168698
Charles City,,2020,6733
Charles City,,2021,6594
Charles Mix,,2020,9351
Charles Mix,,2021,9163
Charleston,,2020,409418
Charleston,,2021,413024
Charlevoix,,2020,26012
Charlevoix,,2021,26086
Charlotte,,2020,187960
Charlotte,,2020,11506
Charlotte,,2021,194843
Charlotte,,2021,11448
Charlottesville city,,2020,46423
Charlottesville city,,2021,45672
Charlton,,2020,12530
Charlton,,2021,12766
Chase,,2020,2564
Chase,,2020,3881
Chase,,2021,2598
Chase,,2021,3826
Chatham,,2020,294904
Chatham,,2020,76611
Chatham,,2021,296329
Chatham,,2021,77889
Chattahoochee,,2020,9482
Chattahoochee,,2021,9048
Chattooga,,2020,24921
Chattooga,,2021,24932
Chautauqua,,2020,3386
Chautauqua,,2020,127424
Chautauqua,,2021,3395
Chautauqua,,2021,126807
Chaves,,2020,65168
Chaves,,2021,64629
Cheatham,,2020,41087
Cheatham,,2021,41523
Cheboygan,,2020,25599
Cheboygan,,2021,25752
Chelan,,2020,79185
Chelan,,2021,79646
Chemung,,2020,83882
Chemung,,2021,83045
Chenango,,2020,47073
Chenango,,2021,46537
Cherokee,,2020,24958
Cherokee,,2020,268043
Cherokee,,2020,11632
Cherokee,,2020,19275
Cherokee,,2020,28833
Cherokee,,2020,47081
Cherokee,,2020,56179
Cherokee,,2020,50477
Cherokee,,2021,24996
Cherokee,,2021,274615
Cherokee,,2021,11503
Cherokee,,2021,19130
Cherokee,,2021,29167
Cherokee,,2021,47627
Cherokee,,2021,56052
Cherokee,,2021,51097
Cherry,,2020,5462
Cherry,,2021,5458
Chesapeake city,,2020,249679
Chesapeake city,,2021,251269
Cheshire,,2020,76501
Cheshire,,2021,77329
Chester,,2020,534645
Chester,,2020,32276
Chester,,2020,17347
Chester,,2021,538649
Chester,,2021,32209
Chester,,2021,17504
Chesterfield,,2020,43258
Chesterfield,,2020,365566
Chesterfield,,2021,43268
Chesterfield,,2021,370688
Cheyenne,,2020,1736
Cheyenne,,2020,2620
Cheyenne,,2020,9482
Cheyenne,,2021,1707
Cheyenne,,2021,2633
Cheyenne,,2021,9529
Chickasaw,,2020,11970
Chickasaw,,2020,17067
Chickasaw,,2021,11887
Chickasaw,,2021,17011
Chicot,,2020,10143
Chicot,,2021,10019
Childress,,2020,6648
Childress,,2021,6736
Chilton,,2020,45024
Chilton,,2021,45274
Chippewa,,2020,36744
Chippewa,,2020,12593
Chippewa,,2020,66279
Chippewa,,2021,36816
Chippewa,,2021,12357
Chippewa,,2021,66865
Chisago,,2020,56670
Chisago,,2021,57469
Chittenden,,2020,168289
Chittenden,,2021,168865
Choctaw,,2020,12619
Choctaw,,2020,8202
Choctaw,,2020,14196
Choctaw,,2021,12533
Choctaw,,2021,8106
Choctaw,,2021,14307
Chouteau,,2020,5899
Chouteau,,2021,5916
Chowan,,2020,13666
Chowan,,2021,13722
Christian,,2020,33900
Christian,,2020,72696
Christian,,2020,89224
Christian,,2021,33662
Christian,,2021,72357
Christian,,2021,91499
Chugach,,2020,7073
Chugach,,2021,6941
Churchill,,2020,25539
Churchill,,2021,25723
Cibola,,2020,27076
Cibola,,2021,27184
Cimarron,,2020,2290
Cimarron,,2021,2248
Citrus,,2020,154403
Citrus,,2021,158083
Clackamas,,2020,422160
Clackamas,,2021,422537
Claiborne,,2020,14109
Claiborne,,2020,9093
Claiborne,,2020,32038
Claiborne,,2021,14038
Claiborne,,2021,8908
Claiborne,,2021,32267
Clallam,,2020,77280
Clallam,,2021,78209
Clare,,2020,30822
Clare,,2021,31065
Clarendon,,2020,31093
Clarendon,,2021,31024
Clarion,,2020,37178
Clarion,,2021,37156
Clark,,2020,21362
Clark,,2020,792
Clark,,2020,15407
Clark,,2020,121282
Clark,,2020,1973
Clark,,2020,36999
Clark,,2020,6632
Clark,,2020,2273386
Clark,,2020,135719
Clark,,2020,3850
Clark,,2020,505013
Clark,,2020,34628
Clark,,2021,21321
Clark,,2021,792
Clark,,2021,15300
Clark,,2021,122738
Clark,,2021,1977
Clark,,2021,36871
Clark,,2021,6736
Clark,,2021,2292476
Clark,,2021,135633
Clark,,2021,3855
Clark,,2021,511404
Clark,,2021,34746
Clarke,,2020,22995
Clarke,,2020,128489
Clarke,,2020,9726
Clarke,,2020,15533
Clarke,,2020,14788
Clarke,,2021,22760
Clarke,,2021,128711
Clarke,,2021,9785
Clarke,,2021,15421
Clarke,,2021,14881
Clatsop,,2020,41089
Clatsop,,2021,41810
Clay,,2020,14193
Clay,,2020,14508
Clay,,2020,218797
Clay,,2020,2835
Clay,,2020,13267
Clay,,2020,26432
Clay,,2020,16333
Clay,,2020,8112
Clay,,2020,20294
Clay,,2020,65351
Clay,,2020,18645
Clay,,2020,253923
Clay,,2020,6101
Clay,,2020,11118
Clay,,2020,14998
Clay,,2020,7554
Clay,,2020,10245
Clay,,2020,8006
Clay,,2021,14190
Clay,,2021,14350
Clay,,2021,222361
Clay,,2021,2882
Clay,,2021,13143
Clay,,2021,26410
Clay,,2021,16440
Clay,,2021,8077
Clay,,2021,20206
Clay,,2021,65574
Clay,,2021,18535
Clay,,2021,255518
Clay,,2021,6078
Clay,,2021,11309
Clay,,2021,15150
Clay,,2021,7555
Clay,,2021,10263
Clay,,2021,7892
Clayton,,2020,297417
Clayton,,2020,16996
Clayton,,2021,297100
Clayton,,2021,16998
Clear Creek,,2020,9404
Clear Creek,,2021,9446
Clearfield,,2020,80394
Clearfield,,2021,80082
Clearwater,,2020,8750
Clearwater,,2020,8580
Clearwater,,2021,8895
Clearwater,,2021,8576
Cleburne,,2020,15035
Cleburne,,2020,24665
Cleburne,,2021,15103
Cleburne,,2021,25015
Clermont,,2020,208635
Clermont,,2021,209642
Cleveland,,2020,7544
Cleveland,,2020,99725
Cleveland,,2020,296019
Cleveland,,2021,7514
Cleveland,,2021,100359
Cleveland,,2021,297597
Clinch,,2020,6723
Clinch,,2021,6725
Clinton,,2020,36896
Clinton,,2020,33151
Clinton,,2020,46418
Clinton,,2020,9216
Clinton,,2020,79128
Clinton,,2020,21204
Clinton,,2020,79715
Clinton,,2020,41962
Clinton,,2020,37350
Clinton,,2021,36793
Clinton,,2021,33065
Clinton,,2021,46463
Clinton,,2021,9265
